video_id,title,description,published_at,thumbnails,tags,category_id,view_count,like_count,comment_count,duration,definition,dimension,caption,licensed_content
thXilnp5UNQ,"Molecules, crystals, and diatomic elements | Middle school chemistry | Khan Academy","Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now!

Our new middle school chemistry course launches in July 2025, but we couldn’t wait to share it! Videos like this one are rolling out over the next few months to give you a sneak peek of what’s to come. 🧪💡

Want to explore more? Check out the full middle school playlist here:
https://www.youtube.com/playlist?list=PLSQl0a2vh4HBnhjPgsJU2y1UhMwcYmb5u

Elements and compounds can exist as pure substances, each with a fixed, definite composition. Some compounds, like water, are made of individual molecules. Others, like salt, form crystals—large, repeating 3D patterns without individual molecules. Additionally, some elements pair up as diatomic molecules, such as O₂ and H₂, rather than existing as single atoms. Understanding whether a substance is molecular or crystalline and how diatomic elements differ from compounds is key to classifying matter.

00:00 Intro
00:48 What are crystals?
01:50 Chemical formula of crystals
03:29 General types of compounds
04:03 Diatomic elements
05:11 Summary of pure substances


Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help!

Donate or volunteer today! Donate here: https://donate.khanacademy.org/give/419869/#!/donation/checkout

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-02-05T08:00:48Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/thXilnp5UNQ/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/thXilnp5UNQ/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/thXilnp5UNQ/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/thXilnp5UNQ/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/thXilnp5UNQ/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,3484,155,0,PT6M7S,hd,2d,false,False
NcrsPIv6NdI,Using word parts to determine meaning | Reading | 5th Grade | Khan Academy,"David explains what words are made of—yes, letters, sure! But also WORD PARTS! Learn about prefixes, roots, and suffixes and how they make meaning.

Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 

Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 

Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-02-03T17:58:51Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/NcrsPIv6NdI/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/NcrsPIv6NdI/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/NcrsPIv6NdI/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/NcrsPIv6NdI/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/NcrsPIv6NdI/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,3348,98,0,PT3M56S,hd,2d,false,False
36nlbUdRvUM,Compounds and chemical formulas | Middle school chemistry | Khan Academy,"Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now!

Our new middle school chemistry course launches in July 2025, but we couldn’t wait to share it! Videos like this one are rolling out over the next few months to give you a sneak peek of what’s to come. 🧪💡

Want to explore more? Check out the full middle school playlist here:
https://www.youtube.com/playlist?list=PLSQl0a2vh4HBnhjPgsJU2y1UhMwcYmb5u

Some substances, like copper or gold, are pure elements. Others, like water (H₂O), are compounds—made from two or more elements in fixed ratios, chemically bonded. Each compound has a unique formula, like CO₂ for carbon dioxide, representing its specific atomic arrangement. Compounds form molecules, tightly bonded units, creating an incredible diversity of substances in nature.

00:00 Intro
00:30 Compounds & elements
01:40 Compounds & molecules
03:00 More examples of compounds
03:58 Chemical formulas of compounds
05:36 Summary


Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help!

Donate or volunteer today! Donate here: https://donate.khanacademy.org/give/419869/#!/donation/checkout

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-29T08:00:03Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/36nlbUdRvUM/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/36nlbUdRvUM/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/36nlbUdRvUM/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/36nlbUdRvUM/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/36nlbUdRvUM/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,5783,159,0,PT6M1S,hd,2d,true,False
Jg3Fo4WD8XE,The periodic table | Middle school chemistry | Khan Academy,"Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now!

Our new middle school chemistry course launches in July 2025, but we couldn’t wait to share it! Videos like this one are rolling out over the next few months to give you a sneak peek of what’s to come. 🧪💡

Want to explore more? Check out the full middle school playlist here:
https://www.youtube.com/playlist?list=PLSQl0a2vh4HBnhjPgsJU2y1UhMwcYmb5u

The periodic table organizes all known elements by atomic number, displaying them in rows and columns called periods and groups. Each element’s square includes its symbol, atomic number, and atomic mass. Groups of elements often share similar properties, like the reactive metals in Group 1, and the inert noble gases in Group 18. The table also separates metals, nonmetals, and metalloids, helping us see patterns in elemental behavior and relationships.

00:00 Intro
00:22 Symbols are universal
00:53 Atomic number & atomic mass 
02:46 Metals, nonmetals, & metalloids
03:32 Periods and groups
05:01 Alkali metals
05:24 Alkaline Earth metals
05:40 Halogens
06:15 Noble gases


Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help!

Donate or volunteer today! Donate here: https://donate.khanacademy.org/give/419869/#!/donation/checkout

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-22T08:00:15Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/Jg3Fo4WD8XE/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/Jg3Fo4WD8XE/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/Jg3Fo4WD8XE/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/Jg3Fo4WD8XE/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/Jg3Fo4WD8XE/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,9979,265,0,PT6M57S,hd,2d,true,False
rm7w_MIxxhU,Introducing Blooket Generator! A New Partnership Between Khan Academy & Blooket.,"Teachers, get ready to revolutionize your classroom! 🌟 

Introducing an exciting new partnership between Khan Academy and Blooket—featuring the game-changing Blooket Generator, powered by Khanmigo! 🎉

✅ Instantly create fun, interactive question sets by entering a grade, topic, or standard.
✅ Transform Khan Academy lessons into engaging Blooket games in seconds.
✅ Save, customize, and share content with fellow teachers.
✅ Keep students motivated, engaged, and mastering key skills!

Take full control of your classroom activities while saving time and boosting learning outcomes. This feature is live now—try it out today! 

Khanmigo is free for teachers. To sign up, visit - Khanmigo.ai

Ready to get started using Blooket Generator? Visit - https://www.khanacademy.org/teacher/khanmigo-tools/blooket-generator?platform=KhanAcademy

We can’t wait to see how you’ll use the Blooket Generator to create an amazing learning experience. Let us know your thoughts in the comments! 💬",2025-01-17T21:52:24Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/rm7w_MIxxhU/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/rm7w_MIxxhU/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/rm7w_MIxxhU/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/rm7w_MIxxhU/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/rm7w_MIxxhU/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,7449,163,14,PT58S,hd,2d,true,False
t4ODg51XNYk,Rhetorical devices and appeals | Reading | Khan Academy,"Strengthen your arguments or enhance your analysis by learning about some rhetorical devices and appeals like metaphor, hyperbole, ethos, and logos, among others. 

Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 

Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 

Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-17T17:46:30Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/t4ODg51XNYk/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/t4ODg51XNYk/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/t4ODg51XNYk/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/t4ODg51XNYk/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/t4ODg51XNYk/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,8961,191,9,PT4M3S,hd,2d,true,False
kFmtXeKPId4,Supporting an inference with logical reasoning and evidence | Reading | Khan Academy,"Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 

Let's play detective, shall we? What's the best way to support inferences drawn from the text? How can we support our inferences with solid reasoning and text evidence?

Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 

Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 

Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-15T16:23:47Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/kFmtXeKPId4/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/kFmtXeKPId4/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/kFmtXeKPId4/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/kFmtXeKPId4/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/kFmtXeKPId4/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,5601,87,15,PT5M,hd,2d,true,False
fS3TOHnUwdw,Archaeology | Vocabulary | Khan Academy,"Let’s explore the meaning and origin of the word “archaeology.”


Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 




Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 


Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 


Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-15T13:24:11Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/fS3TOHnUwdw/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/fS3TOHnUwdw/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/fS3TOHnUwdw/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/fS3TOHnUwdw/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/fS3TOHnUwdw/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,1805,29,0,PT2M47S,hd,2d,true,False
pq36jdgmuzw,Contemporary  | Vocabulary | Khan Academy,"Let’s explore the meaning and origin of the word “contemporary.”


Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 

Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 


Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 


Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-15T13:23:18Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/pq36jdgmuzw/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/pq36jdgmuzw/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/pq36jdgmuzw/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/pq36jdgmuzw/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/pq36jdgmuzw/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,1687,31,0,PT2M49S,hd,2d,true,False
hVlFzfHc3t0,Authentic | Vocabulary | Khan Academy,"Let’s explore the meaning and origin of the word “authentic.”


Courses on Khan Academy are always 100% free. Start practicing—and saving your progress—now! 




Khan Academy is a nonprofit organization with the mission of providing a free, world-class education for anyone, anywhere. We offer quizzes, questions, instructional videos, and articles on a range of academic subjects, including math, biology, chemistry, physics, history, economics, finance, grammar, preschool learning, and more. We provide teachers with tools and data so they can help their students develop the skills, habits, and mindsets for success in school and beyond. Khan Academy has been translated into dozens of languages, and 15 million people around the globe learn on Khan Academy every month. As a 501(c)(3) nonprofit organization, we would love your help! 


Donate or volunteer today! Donate here: https://www.khanacademy.org/donate?utm_source=youtube&utm_medium=desc 


Volunteer here: https://www.khanacademy.org/contribute?utm_source=youtube&utm_medium=desc",2025-01-15T13:23:15Z,"{""default"": {""url"": ""https://i.ytimg.com/vi/hVlFzfHc3t0/default.jpg"", ""width"": 120, ""height"": 90}, ""medium"": {""url"": ""https://i.ytimg.com/vi/hVlFzfHc3t0/mqdefault.jpg"", ""width"": 320, ""height"": 180}, ""high"": {""url"": ""https://i.ytimg.com/vi/hVlFzfHc3t0/hqdefault.jpg"", ""width"": 480, ""height"": 360}, ""standard"": {""url"": ""https://i.ytimg.com/vi/hVlFzfHc3t0/sddefault.jpg"", ""width"": 640, ""height"": 480}, ""maxres"": {""url"": ""https://i.ytimg.com/vi/hVlFzfHc3t0/maxresdefault.jpg"", ""width"": 1280, ""height"": 720}}","online learning, online class, video class, video tutorial, online education",27,3285,59,0,PT2M54S,hd,2d,true,False
